[16:42:58] === 开始监控 TNOS / SOL (jLVprkYrvz...) ===
[16:42:59] 已知操盘方钱包(bundler/transfer_in/creator/dev_team标签): 40个
[16:42:59] 检测条件: 单笔买入>=$50 且钱包不在上面这个名单里 -> 判定疑似真买家
[16:42:59] 每10秒查一次最新成交,最长跑33分钟
[17:10:38] *** 疑似真买家信号#136 *** 钱包6uWbvJDKPU... 买入$150.96 (不在已知操盘方名单里,tx=5sebFH3KhXAz...)
[17:10:38] *** 疑似真买家信号#137 *** 钱包CKhNhJwp7b... 买入$236.33 (不在已知操盘方名单里,tx=64fdyt84gzNF...)
[17:10:38] *** 疑似真买家信号#138 *** 钱包AEz6PtKxu6... 买入$94.14 (不在已知操盘方名单里,tx=y49cqgj1V3GH...)
[17:11:49] *** 疑似真买家信号#139 *** 钱包7z38442jXb... 买入$113.56 (不在已知操盘方名单里,tx=Kxp316CVsGZG...)
[17:11:49] *** 疑似真买家信号#140 *** 钱包4Xuyhm5ZHy... 买入$154.08 (不在已知操盘方名单里,tx=5SywQqscbW8H...)
[17:11:49] *** 疑似真买家信号#141 *** 钱包Hmm2oxd7Fj... 买入$192.13 (不在已知操盘方名单里,tx=2T72ngHT3MHr...)
[17:11:49] *** 疑似真买家信号#142 *** 钱包CWYDp7VHG3... 买入$95.35 (不在已知操盘方名单里,tx=2DDRCRrQiKrJ...)
[17:12:26] *** 疑似真买家信号#143 *** 钱包8FN8ZuLNqE... 买入$113.16 (不在已知操盘方名单里,tx=55zbmpq9gvCP...)
[17:12:26] *** 疑似真买家信号#144 *** 钱包FCfLp2xBzG... 买入$334.23 (不在已知操盘方名单里,tx=5diCr8FBvhz4...)
[17:12:26] *** 疑似真买家信号#145 *** 钱包EsA8khqV2W... 买入$289.76 (不在已知操盘方名单里,tx=348F5jrsKAMf...)
[17:12:26] *** 疑似真买家信号#146 *** 钱包6xvRyWUZ3e... 买入$269.21 (不在已知操盘方名单里,tx=3Z9di2oX5dGx...)
[17:12:26] *** 疑似真买家信号#147 *** 钱包BzGiTRv6zd... 买入$116.66 (不在已知操盘方名单里,tx=38tqsMq5x3cJ...)
[17:12:26] *** 疑似真买家信号#148 *** 钱包5jR5v4Cw6w... 买入$63.67 (不在已知操盘方名单里,tx=2GsV56Ketexn...)
[17:13:03] *** 疑似真买家信号#149 *** 钱包FAbpbttFQX... 买入$55.49 (不在已知操盘方名单里,tx=5A12QTksQiKR...)
[17:13:03] *** 疑似真买家信号#150 *** 钱包8xNyby54ah... 买入$118.03 (不在已知操盘方名单里,tx=4ukenzgHJSoy...)
[17:13:03] *** 疑似真买家信号#151 *** 钱包6suexYtg7s... 买入$223.46 (不在已知操盘方名单里,tx=4der6vdDUvhU...)
[17:14:14] *** 疑似真买家信号#152 *** 钱包49VPMLjKnB... 买入$50.30 (不在已知操盘方名单里,tx=2K4WYM67m5Wo...)
[17:14:14] *** 疑似真买家信号#153 *** 钱包Hd8NVxe36H... 买入$196.98 (不在已知操盘方名单里,tx=2w1mF6u4eXHZ...)
[17:14:14] *** 疑似真买家信号#154 *** 钱包2Fz5vvn76J... 买入$89.55 (不在已知操盘方名单里,tx=29VffLrN7iR7...)
[17:14:14] *** 疑似真买家信号#155 *** 钱包Hu8JE5pkzy... 买入$267.62 (不在已知操盘方名单里,tx=27d5Kf2ADmDk...)
[17:14:14] *** 疑似真买家信号#156 *** 钱包5WRxgTAE5n... 买入$177.84 (不在已知操盘方名单里,tx=4sPQ4zDviR2S...)
