[02:48:29] === 2AbGRmWy 高密度崩盘取证监控启动 ===
[02:48:30] 基线: 价格$0.00064757 流动性$56,921
[05:36:54] 价格$0.00089615  流动性$66,867(峰值$66,867)  已存档300笔逐笔  操盘方卖出比例=86.3%
[05:37:55] 价格$0.00089615  流动性$66,867(峰值$66,867)  已存档300笔逐笔
[05:38:56] 价格$0.00088688  流动性$66,753(峰值$66,867)  已存档300笔逐笔
[05:39:57] 价格$0.00088688  流动性$66,753(峰值$66,867)  已存档300笔逐笔
[05:40:58] 价格$0.00089298  流动性$66,813(峰值$66,867)  已存档300笔逐笔
[05:41:59] 价格$0.00088499  流动性$66,504(峰值$66,867)  已存档300笔逐笔  操盘方卖出比例=86.3%
[05:43:00] 价格$0.00089122  流动性$66,634(峰值$66,867)  已存档300笔逐笔
[05:44:01] 价格$0.00089122  流动性$66,634(峰值$66,867)  已存档300笔逐笔
[05:45:02] 价格$0.00088540  流动性$66,534(峰值$66,867)  已存档300笔逐笔
[05:46:04] 价格$0.00088999  流动性$66,484(峰值$66,867)  已存档300笔逐笔
[05:47:05] 价格$0.00088724  流动性$66,265(峰值$66,867)  已存档300笔逐笔  操盘方卖出比例=86.3%
[05:48:06] 价格$0.00088724  流动性$66,265(峰值$66,867)  已存档300笔逐笔
[05:49:07] 价格$0.00088829  流动性$66,490(峰值$66,867)  已存档300笔逐笔
[05:50:08] 价格$0.00095502  流动性$67,885(峰值$67,885)  已存档300笔逐笔
[05:51:09] 价格$0.00095992  流动性$68,992(峰值$68,992)  已存档300笔逐笔
[05:52:10] 价格$0.00095992  流动性$68,992(峰值$68,992)  已存档300笔逐笔  操盘方卖出比例=86.2%
[05:53:11] 价格$0.00097174  流动性$69,882(峰值$69,882)  已存档300笔逐笔
[05:54:12] 价格$0.00097174  流动性$69,882(峰值$69,882)  已存档300笔逐笔
[05:55:14] 价格$0.00097204  流动性$69,854(峰值$69,882)  已存档300笔逐笔
[05:56:15] 价格$0.00097204  流动性$69,854(峰值$69,882)  已存档300笔逐笔
[05:57:16] 价格$0.00098114  流动性$70,024(峰值$70,024)  已存档300笔逐笔  操盘方卖出比例=86.1%
[05:58:17] 价格$0.00097307  流动性$69,844(峰值$70,024)  已存档300笔逐笔
[05:59:18] 价格$0.00095150  流动性$69,007(峰值$70,024)  已存档300笔逐笔
[06:00:19] 价格$0.00095150  流动性$69,007(峰值$70,024)  已存档300笔逐笔
[06:01:20] 价格$0.00094872  流动性$69,093(峰值$70,024)  已存档300笔逐笔
[06:02:21] 价格$0.00095253  流动性$68,560(峰值$70,024)  已存档300笔逐笔  操盘方卖出比例=86.2%
[06:03:22] 价格$0.00095510  流动性$69,039(峰值$70,024)  已存档300笔逐笔
[06:04:23] 价格$0.00095058  流动性$69,201(峰值$70,024)  已存档300笔逐笔
[06:05:24] 价格$0.00095231  流动性$68,697(峰值$70,024)  已存档300笔逐笔
[06:06:25] 价格$0.00096059  流动性$69,335(峰值$70,024)  已存档300笔逐笔
[06:07:26] 价格$0.00097190  流动性$69,951(峰值$70,024)  已存档300笔逐笔  操盘方卖出比例=86.1%
[06:08:27] 价格$0.00097532  流动性$69,815(峰值$70,024)  已存档300笔逐笔
[06:09:28] 价格$0.00097532  流动性$69,815(峰值$70,024)  已存档300笔逐笔
[06:10:29] 价格$0.00097120  流动性$69,918(峰值$70,024)  已存档300笔逐笔
[06:11:30] 价格$0.00097429  流动性$69,848(峰值$70,024)  已存档300笔逐笔
