[15:48:29] === EnxNwE5V 高密度崩盘取证监控启动 ===
[15:48:30] 基线: 价格$0.00050999 流动性$49,721
[20:04:06] 价格$0.00058827  流动性$54,181(峰值$54,181)  已存档2笔逐笔
[20:05:07] 价格$0.00058896  流动性$54,165(峰值$54,181)  已存档1笔逐笔
[20:06:07] 价格$0.00058902  流动性$54,124(峰值$54,181)  已存档3笔逐笔
[20:07:08] 价格$0.00058844  流动性$54,151(峰值$54,181)  已存档2笔逐笔  操盘方卖出比例=0.4%
[20:08:09] 价格$0.00058923  流动性$54,151(峰值$54,181)  已存档1笔逐笔
[20:09:10] 价格$0.00058941  流动性$54,169(峰值$54,181)  已存档3笔逐笔
[20:10:10] 价格$0.00058941  流动性$54,169(峰值$54,181)  已存档2笔逐笔
[20:11:11] 价格$0.00058927  流动性$53,833(峰值$54,181)  已存档0笔逐笔
[20:12:13] 价格$0.00058998  流动性$53,869(峰值$54,181)  已存档4笔逐笔  操盘方卖出比例=0.4%
[20:13:14] 价格$0.00058998  流动性$53,869(峰值$54,181)  已存档3笔逐笔
[20:14:15] 价格$0.00059082  流动性$53,948(峰值$54,181)  已存档2笔逐笔
[20:15:15] 价格$0.00058454  流动性$54,336(峰值$54,336)  已存档2笔逐笔
[20:16:16] 价格$0.00059059  流动性$53,914(峰值$54,336)  已存档1笔逐笔
[20:17:17] 价格$0.00058355  流动性$54,231(峰值$54,336)  已存档2笔逐笔  操盘方卖出比例=0.4%
[20:18:18] 价格$0.00059085  流动性$53,935(峰值$54,336)  已存档2笔逐笔
[20:19:19] 价格$0.00059015  流动性$54,258(峰值$54,336)  已存档2笔逐笔
[20:20:20] 价格$0.00059015  流动性$54,258(峰值$54,336)  已存档2笔逐笔
[20:21:22] 价格$0.00059010  流动性$53,868(峰值$54,336)  已存档1笔逐笔
[20:22:22] 价格$0.00059076  流动性$53,868(峰值$54,336)  已存档1笔逐笔  操盘方卖出比例=0.4%
[20:23:23] 价格$0.00059106  流动性$53,871(峰值$54,336)  已存档3笔逐笔
[20:24:24] 价格$0.00059106  流动性$53,871(峰值$54,336)  已存档2笔逐笔
[20:25:25] 价格$0.00058382  流动性$54,247(峰值$54,336)  已存档2笔逐笔
[20:26:25] 价格$0.00058382  流动性$54,247(峰值$54,336)  已存档3笔逐笔
[20:27:26] 价格$0.00058459  流动性$54,300(峰值$54,336)  已存档0笔逐笔  操盘方卖出比例=0.4%
[20:28:27] 价格$0.00059133  流动性$53,923(峰值$54,336)  已存档2笔逐笔
[20:29:28] 价格$0.00058420  流动性$54,230(峰值$54,336)  已存档4笔逐笔
[20:30:29] 价格$0.00059129  流动性$53,959(峰值$54,336)  已存档1笔逐笔
[20:31:30] 价格$0.00058442  流动性$54,310(峰值$54,336)  已存档2笔逐笔
[20:32:31] 价格$0.00059240  流动性$54,232(峰值$54,336)  已存档2笔逐笔  操盘方卖出比例=0.4%
[20:33:31] 价格$0.00059240  流动性$54,232(峰值$54,336)  已存档2笔逐笔
[20:34:32] 价格$0.00058650  流动性$54,323(峰值$54,336)  已存档2笔逐笔
[20:35:33] 价格$0.00059374  流动性$54,080(峰值$54,336)  已存档1笔逐笔
[20:36:34] 价格$0.00059374  流动性$54,080(峰值$54,336)  已存档5笔逐笔
