[01:56:01] === AZyerget 高密度崩盘取证监控启动 ===
[01:56:01] 基线: 价格$0.01011135 流动性$228,417
[05:25:04] 价格$0.00863916  流动性$211,178(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[05:26:06] 价格$0.00863916  流动性$211,178(峰值$252,499)  已存档300笔逐笔
[05:27:06] 价格$0.00870183  流动性$211,791(峰值$252,499)  已存档300笔逐笔
[05:28:07] 价格$0.00872373  流动性$212,410(峰值$252,499)  已存档300笔逐笔
[05:29:08] 价格$0.00877250  流动性$212,710(峰值$252,499)  已存档300笔逐笔
[05:30:10] 价格$0.00881532  流动性$212,992(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[05:31:11] 价格$0.00882099  流动性$213,290(峰值$252,499)  已存档300笔逐笔
[05:32:13] 价格$0.00882099  流动性$213,290(峰值$252,499)  已存档300笔逐笔
[05:33:13] 价格$0.00891772  流动性$214,083(峰值$252,499)  已存档300笔逐笔
[05:34:14] 价格$0.00891772  流动性$214,083(峰值$252,499)  已存档300笔逐笔
[05:35:15] 价格$0.00895813  流动性$215,069(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[05:36:16] 价格$0.00901575  流动性$215,682(峰值$252,499)  已存档300笔逐笔
[05:37:17] 价格$0.00901583  流动性$215,931(峰值$252,499)  已存档300笔逐笔
[05:38:18] 价格$0.00906434  流动性$216,321(峰值$252,499)  已存档300笔逐笔
[05:39:19] 价格$0.00907614  流动性$216,801(峰值$252,499)  已存档300笔逐笔
[05:40:20] 价格$0.00910393  流动性$217,080(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[05:41:21] 价格$0.00916508  流动性$216,824(峰值$252,499)  已存档300笔逐笔
[05:42:22] 价格$0.00918973  流动性$217,479(峰值$252,499)  已存档300笔逐笔
[05:43:23] 价格$0.00923101  流动性$217,935(峰值$252,499)  已存档300笔逐笔
[05:44:24] 价格$0.00924558  流动性$218,510(峰值$252,499)  已存档300笔逐笔
[05:45:25] 价格$0.00925432  流动性$218,974(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[05:46:27] 价格$0.00927442  流动性$219,336(峰值$252,499)  已存档300笔逐笔
[05:47:28] 价格$0.00932012  流动性$219,388(峰值$252,499)  已存档300笔逐笔
