[16:12:33] === 4hBWjMa6 高密度崩盘取证监控启动 ===
[16:12:34] 基线: 价格$0.01725050 流动性$297,188
[19:20:48] 价格$0.05624154  流动性$540,408(峰值$540,408)  已存档77笔逐笔  操盘方卖出比例=3.5%
[19:21:48] 价格$0.05645154  流动性$541,879(峰值$541,879)  已存档95笔逐笔
[19:22:49] 价格$0.05641926  流动性$542,866(峰值$542,866)  已存档79笔逐笔
[19:23:50] 价格$0.05702862  流动性$543,892(峰值$543,892)  已存档92笔逐笔
[19:24:50] 价格$0.05723470  流动性$545,606(峰值$545,606)  已存档89笔逐笔
[19:25:51] 价格$0.05755896  流动性$546,916(峰值$546,916)  已存档88笔逐笔  操盘方卖出比例=3.5%
[19:26:52] 价格$0.05755896  流动性$546,916(峰值$546,916)  已存档84笔逐笔
[19:27:52] 价格$0.05801488  流动性$549,585(峰值$549,585)  已存档83笔逐笔
[19:28:53] 价格$0.05831220  流动性$551,036(峰值$551,036)  已存档86笔逐笔
[19:29:54] 价格$0.05831220  流动性$551,036(峰值$551,036)  已存档82笔逐笔
[19:30:55] 价格$0.05893149  流动性$553,196(峰值$553,196)  已存档84笔逐笔  操盘方卖出比例=3.6%
[19:31:56] 价格$0.05885741  流动性$554,543(峰值$554,543)  已存档89笔逐笔
[19:32:57] 价格$0.05935367  流动性$554,076(峰值$554,543)  已存档83笔逐笔
[19:33:58] 价格$0.05973308  流动性$555,871(峰值$555,871)  已存档86笔逐笔
[19:34:58] 价格$0.05973308  流动性$555,871(峰值$555,871)  已存档86笔逐笔
[19:35:59] 价格$0.06022321  流动性$559,485(峰值$559,485)  已存档91笔逐笔  操盘方卖出比例=3.6%
[19:37:00] 价格$0.06050950  流动性$559,942(峰值$559,942)  已存档87笔逐笔
[19:38:01] 价格$0.06080750  流动性$562,795(峰值$562,795)  已存档79笔逐笔
[19:39:03] 价格$0.06124521  流动性$564,979(峰值$564,979)  已存档91笔逐笔
